Key,Value,
buy,购买,
equip,穿上,
unequip,脱下,
have,已拥有,
using,已装备,
intimacy1,普通Ⅰ,
intimacy2,普通Ⅱ,
intimacy3,普通Ⅲ,
intimacy4,普通Ⅳ,
intimacy5,普通Ⅴ,
intimacy6,友好Ⅰ,
intimacy7,友好Ⅱ,
intimacy8,友好Ⅲ,
intimacy9,友好Ⅳ,
intimacy10,友好Ⅴ,
intimacy11,亲密Ⅰ,
intimacy12,亲密Ⅱ,
intimacy13,亲密Ⅲ,
intimacy14,亲密Ⅳ,
intimacy15,亲密Ⅴ,
intimacy16,暧昧Ⅰ,
intimacy17,暧昧Ⅱ,
intimacy18,暧昧Ⅲ,
intimacy19,暧昧Ⅳ,
intimacy20,暧昧Ⅴ,
intimacy21,爱慕Ⅰ,
intimacy22,爱慕Ⅱ,
intimacy23,爱慕Ⅲ,
intimacy24,爱慕Ⅳ,
intimacy25,爱慕Ⅴ,
intimacy26,死心塌地Ⅰ,
intimacy27,死心塌地Ⅱ,
intimacy28,死心塌地Ⅲ,
intimacy29,死心塌地Ⅳ,
intimacy30,死心塌地Ⅴ,
count_limit,不能携带更多女武神出战,
unused,未使用,
d_0_0_0_0,对话：女武神编号1亲密度阶段1部位1对话编号1,
d_1_1_1_1,快拿开你的手,
d_1_1_1_2,快拿开你的手,
d_1_1_1_3,快拿开你的手,
d_1_1_2_1,你的举动好奇怪,
d_1_1_2_2,你的举动好奇怪,
d_1_1_2_3,你的举动好奇怪,
d_1_1_3_1,你干嘛摸我？,
d_1_1_3_2,你干嘛摸我？,
d_1_1_3_3,你干嘛摸我？,
d_1_2_1_1,这样不太好吧。。。,
d_1_2_1_2,这样不太好吧。。。,
d_1_2_1_3,这样不太好吧。。。,
d_1_2_2_1,拿走你的手,
d_1_2_2_2,拿走你的手,
d_1_2_2_3,拿走你的手,
d_1_2_3_1,如果你能提高和我的亲密度~才可以,
d_1_2_3_2,如果你能提高和我的亲密度~才可以,
d_1_2_3_3,如果你能提高和我的亲密度~才可以,
d_1_3_1_1,你的手很温暖,
d_1_3_1_2,你的手很温暖,
d_1_3_1_3,你的手很温暖,
d_1_3_2_1,你不要有这样奇怪的举动,
d_1_3_2_2,你不要有这样奇怪的举动,
d_1_3_2_3,你不要有这样奇怪的举动,
d_1_3_3_1,不要，这样好奇怪,
d_1_3_3_2,不要，这样好奇怪,
d_1_3_3_3,不要，这样好奇怪,
d_1_4_1_1,你喜欢我吗？,
d_1_4_1_2,你喜欢我吗？,
d_1_4_1_3,你喜欢我吗？,
d_1_4_2_1,我们还没到可以这样的程度。,
d_1_4_2_2,我们还没到可以这样的程度。,
d_1_4_2_3,我们还没到可以这样的程度。,
d_1_4_3_1,不要碰那里！,
d_1_4_3_2,不要碰那里！,
d_1_4_3_3,不要碰那里！,
d_1_5_1_1,你不想跟我先说点什么吗？,
d_1_5_1_2,你不想跟我先说点什么吗？,
d_1_5_1_3,你不想跟我先说点什么吗？,
d_1_5_2_1,这样是不可以的,
d_1_5_2_2,这样是不可以的,
d_1_5_2_3,这样是不可以的,
d_1_5_3_1,坏死了，这样不可以,
d_1_5_3_2,坏死了，这样不可以,
d_1_5_3_3,坏死了，这样不可以,
d_1_6_1_1,不要只摸我的脸，会变笨的。,
d_1_6_1_2,不要只摸我的脸，会变笨的。,
d_1_6_1_3,不要只摸我的脸，会变笨的。,
d_1_6_2_1,讨厌啦，会有其他人看到的。,
d_1_6_2_2,讨厌啦，会有其他人看到的。,
d_1_6_2_3,讨厌啦，会有其他人看到的。,
d_1_6_3_1,不行，这里，不可以的,
