Key,Value,
creatGuildNeedLv1,<b>创建仙盟需要<f color='ff00ff00'>%d</f>级</b>,
creatGuildNeedLv2,<b>创建仙盟需要<f color='ffff0000'>%d</f>级</b>,
inputName,请输入一个响亮的仙盟名,
nullIcon,请选择一个仙盟图标,
guild_Apply_lv,加入该仙盟需要:%s,
guild_Apply_rightname,请正确输入仙盟名称,
guild_Donate_nogold,"捐献失败,银两不足",
guild_Donate_addmore,<b>贡献成功，仙盟威望增加<f color='ff00d600'>%d</f>，仙盟资金增加<f color='ff00d600'>%d</f>，个人贡献增加<f color='ff00d600'>%d</f></b>,
guild_Donate_Over,今日捐献次数已经用完，捐献次数每日5点刷新,
guild_Factor_need,需要手动审核,
guild_Factor_autoadd,自动加入,
guild_Factor_curcondition,"当前%s的玩家可申请,申请后%s",
guild_Hall_copyQQ,仙盟群号已复制到剪贴板,
guild_public_noPrivilege,你没有该操作权限,
guild_Hall_changname,仙盟%d天内只能改名一次,
guild_Hall_changnameLeftDay,"7天之内只能修改一次,上次修改%d天前.",
guild_Main_removeMember,是否确认从仙盟移出此玩家<br/>(今日剩余次数:<f color = 'ff00d600'>{0}</f>),
guild_Main_removeYes,是的,
guild_Main_removeNO,不移,
guild_Main_removeBoss,弹劾盟主成功,
guild_Main_BossToMb,你将转让盟主给此玩家,
guild_Main_BossToMbYes,是的,
guild_Main_BossToMbNO,不了,
guild_Main_MBIsOnline,在线,
guild_Main_ChangeNotice,修改公告,
guild_Main_rushList,刷新列表,
guild_Mian_addcondition,入盟条件,
guild_Main_allNO,全部拒绝,
guild_Main_allYES,全部同意,
guild_Main_Exit,退出仙盟,
guild_Main_ExitSure,是否确认退出仙盟<br/>(<f color = 'ff00d600'>退出后{0}内无法加入仙盟</f>),
guild_Main_ExitYes,是的,
guild_Main_ExitNO,不退了,
guild_Main_DestroySure,仙盟只剩你一人，退出后，仙盟将解散！,
guild_Main_DestroyYes,确定,
guild_Main_DestroyNO,取消,
guild_Main_JobName,职位名称,
guild_Main_guildrank,仙盟排行,
guild_kick_num,移除成功，今日剩余{0}次,
guild_cur_job,当前为%s
guild_Pray_prayadd,祈福加成：,
guild_Pray_prayaddYes,"祈福已激活,持续至今日24时",
guild_Pray_prayaddNO,"祈福未激活,今日24时将刷新",
guild_Pray_paryAddFund,"祈福成功：仙盟资金 +%d  仙盟贡献 +%d",
guild_Pray_addPreview,<f color='ffddf2ff' style = '4'>加成预览</f>,
guild_Pray_addBuff,<f color='ffffae00' style = '4'>祈福加成</f>,
guild_Pray_praysucceed,"祈福成功,祈福进度增加",
guild_Pray_getgift,领取礼包,
guild_Pray_prayBUFF,祈福加成,
guild_Pray_prayNoTip,祈福进度未达到领取条件,
guild_Pray_prayAlreadyTip,今天奖励已领取，明天再来吧,
guild_PrayUp_praylv,%d级祈福,
guild_PrayLimit_1,1级开启新祈福物品，增加祈福福利,
guild_PrayLimit_2,3级开启新祈福物品，增加祈福福利,
guild_PrayLimit_3,5级开启新祈福物品，增加祈福福利,
